,symbol,lot,type,opentime,closetime,openprice,closeprice,stoploss,takeprofit,status,mount
0,EURUSD_15M,1,1,2017.01.02 10:45:00,2017.01.02 13:00:00,1.04829,1.04629,1.05029,1.04629,1,200.00000000000017
1,EURUSD_15M,1,1,2017.01.02 13:15:00,2017.01.03 04:45:00,1.04662,1.0485200000000001,1.04862,1.04462,1,-190.00000000000128
2,EURUSD_15M,1,1,2017.01.03 05:00:00,2017.01.03 07:00:00,1.04884,1.04684,1.05084,1.04684,1,200.00000000000017
3,EURUSD_15M,1,1,2017.01.03 07:15:00,2017.01.03 08:15:00,1.046,1.044,1.048,1.044,1,200.00000000000017
4,EURUSD_15M,1,1,2017.01.03 08:30:00,2017.01.03 09:30:00,1.04325,1.04125,1.04525,1.04125,1,200.00000000000017
5,EURUSD_15M,1,1,2017.01.03 09:45:00,2017.01.03 11:15:00,1.04125,1.03925,1.04325,1.03925,1,200.00000000000017
6,EURUSD_15M,1,1,2017.01.03 11:30:00,2017.01.03 14:45:00,1.03831,1.04021,1.04031,1.03631,1,-190.00000000000128
7,EURUSD_15M,1,1,2017.01.03 15:00:00,2017.01.03 15:15:00,1.03892,1.03692,1.04092,1.03692,1,200.00000000000017
8,EURUSD_15M,1,1,2017.01.03 15:30:00,2017.01.03 15:45:00,1.0363200000000001,1.0382200000000001,1.0383200000000001,1.0343200000000001,1,-190.00000000000128
9,EURUSD_15M,1,1,2017.01.03 16:00:00,2017.01.03 16:15:00,1.0384799999999998,1.0403799999999999,1.0404799999999998,1.0364799999999998,1,-190.00000000000128
10,EURUSD_15M,1,1,2017.01.03 16:30:00,2017.01.04 00:45:00,1.04162,1.03962,1.04362,1.03962,1,200.00000000000017
11,EURUSD_15M,1,1,2017.01.04 01:00:00,2017.01.04 07:00:00,1.03948,1.04138,1.04148,1.03748,1,-190.00000000000128
12,EURUSD_15M,1,1,2017.01.04 07:15:00,2017.01.04 08:00:00,1.04087,1.04277,1.04287,1.03887,1,-190.00000000000128
13,EURUSD_15M,1,0,2017.01.04 08:15:00,2017.01.04 08:30:00,1.04377,1.04167,1.04167,1.04567,1,-209.9999999999991
14,EURUSD_15M,1,0,2017.01.04 08:45:00,2017.01.04 09:00:00,1.04192,1.04382,1.03982,1.04382,1,190.00000000000128
15,EURUSD_15M,1,0,2017.01.04 09:15:00,2017.01.04 14:45:00,1.0438100000000001,1.0457100000000001,1.0417100000000001,1.0457100000000001,1,190.00000000000128
16,EURUSD_15M,1,0,2017.01.04 15:00:00,2017.01.04 16:00:00,1.04635,1.04825,1.04425,1.04825,1,190.00000000000128
17,EURUSD_15M,1,0,2017.01.04 16:15:00,2017.01.04 19:00:00,1.048,1.0499,1.0459,1.0499,1,190.00000000000128
18,EURUSD_15M,1,0,2017.01.04 19:15:00,2017.01.04 19:30:00,1.04876,1.04666,1.04666,1.05066,1,-209.9999999999991
19,EURUSD_15M,1,0,2017.01.04 19:45:00,2017.01.04 20:30:00,1.04597,1.04787,1.04387,1.04787,1,190.00000000000128
20,EURUSD_15M,1,0,2017.01.04 20:45:00,2017.01.04 23:45:00,1.04808,1.04998,1.04598,1.04998,1,190.00000000000128
